映画タイトル,感想,評価,泣ける,笑える,勉強,キュキュン,怖い,ワクワク,ハラハラ,わかち書き
耳をすませば(実写),元々ジブリ版が好きで実写も見ましたが、ジブリ版と違う部分がとても気になってしまいました。そもそも、続編のようなPR内容だったのに、そもそも主人公の夢が違ったり、作品内に〇年前というのはジブリまんまなので逆に気になりました。,2,2,2,2,2,1,1,1,元々 ジブリ 版 が 好き だ 実写 も 見る ます た が 、 ジブリ 版 と 違う 部分 が とても 気 に なる て しまう ます た 。 そもそも 、 続編 の よう だ PR 内容 だ た の に 、 そもそも 主人公 の 夢 が 違う たり 、 作品 内 に 〇 年 前 と いう の は ジブリ まんま だ の だ 逆 だ 気 に なる ます た 。
ゴジラ　-1.0,ゴジラの迫力が凄かった。戦争について考えさせられる内容だった。,5,4,1,3,1,4,4,5,ゴジラ の 迫力 が 凄い た 。 戦争 に つく て 考える させる られる 内容 だ た 。
となりのトトロ,トトロの小さいやつ(ズクとミン)が可愛い。トトロの別名がミミンズクらいしい,4,3,3,2,1,4,3,4,トトロ の 小さい やつ ( ズク と ミン ) が 可愛い 。 トトロ の 別名 が ミミンズク ら いしい
あの花が咲く丘で、君とまた出会えたら。,戦争を題材にしたラブストーリで、とても泣ける映画だった。,5,5,1,2,3,3,1,3,戦争 を 題材 に する た ラブストーリ だ 、 とても 泣ける 映画 だ た 。
マスカレード・ホテル,伏線の回収され方と世界観がよかった。,4,1,3,1,1,2,2,4,伏線 の 回収 する れる 方 と 世界観 が よい た 。
変な家,原作にあまり忠実ではない。かなりつまらない。ミステリーなのかホラーなのかよくわからなかったし主人公の倫理観を疑う。,1,1,1,1,1,4,1,3,原作 に あまり 忠実 だ は ない 。 かなり つまる ない 。 ミステリー だ の か ホラー だ の か よく わかる ない た し 主人公 の 倫理観 を 疑う 。
おそ松さん（実写）,Snow Man目当てで見たが、おもしろくなかった。,1,1,3,1,1,1,1,1,Snow MAN 目当て で 見る た が 、 おもしろい ない た 。
ミラベルと魔法だらけの家,音楽がたくさんあって楽しい、グラフィックもきれいで魔法が美しく見える,4,3,4,2,2,3,3,3,音楽 が たくさん ある て 楽しい 、 グラフィック も きれい だ 魔法 が 美しい 見える
竜とそばかすの姫,落ちが少し強引、期待値よりははるかに下の結末,2,2,2,2,2,2,3,3,落ち が 少し 強引 、 期待値 より は はるか だ 下 の 結末
この子は邪悪,出演者目当てで見たがグロくて映画館で見たことを公開した。,3,3,1,1,2,5,1,5,出演者 目当て で 見る た が グロい て 映画館 で 見る た こと を 公開 する た 。
